"UF","Município","Zonas","Locais","Seções","Eleitorado","EleitoradoFeminino","EleitoradoMasculino","PorcentagemF","PorcentagemM"
"RS","Faxinalzinho",1,5,8,709,362,347,51.06,48.94
"GO","Fazenda Nova",1,7,23,1085,552,533,50.88,49.12
"PR","Fazenda Rio Grande",1,30,255,3142,1683,1459,53.56,46.44
"RS","Fazenda Vilanova",1,8,13,930,471,459,50.65,49.35
"AC","Feijó",1,24,92,1601,852,749,53.22,46.78
"BA","Feira Da Mata",1,5,17,828,422,406,50.97,49.03
"BA","Feira De Santana",4,84,494,11119,6044,5074,54.36,45.63
"AL","Feira Grande",1,6,51,1556,839,717,53.92,46.08
"PE","Feira Nova",1,11,62,1239,637,602,51.41,48.59
"SE","Feira Nova",1,7,25,904,477,427,52.77,47.23
"MA","Feira Nova Do Maranhão",1,8,23,822,420,402,51.09,48.91
"RN","Felipe Guerra",1,3,19,957,515,442,53.81,46.19
"MG","Felisburgo",1,4,17,1074,562,506,52.33,47.11
"MG","Felixlândia",1,10,40,1509,794,709,52.62,46.98
"RS","Feliz",1,13,37,1022,574,448,56.16,43.84
"AL","Feliz Deserto",1,2,11,919,481,438,52.34,47.66
"MT","Feliz Natal",1,4,23,1542,776,766,50.32,49.68
"MG","Felício Dos Santos",1,3,16,871,460,408,52.81,46.84
"PR","Fernandes Pinheiro",1,8,21,818,434,384,53.06,46.94
"MG","Fernandes Tourinho",1,3,11,786,397,389,50.51,49.49
"MA","Fernando Falcão",1,15,39,1278,657,621,51.41,48.59
"RN","Fernando Pedroza",1,2,12,776,392,384,50.52,49.48
"SP","Fernando Prestes",1,3,17,936,505,431,53.95,46.05
"SP","Fernandópolis",1,18,154,1940,1027,911,52.94,46.96
"SP","Fernão",1,1,6,665,347,318,52.18,47.82
"SP","Ferraz De Vasconcelos",1,42,442,3092,1614,1471,52.2,47.57
"AP","Ferreira Gomes",1,5,26,1478,755,723,51.08,48.92
"PE","Ferreiros",1,5,29,1081,588,493,54.39,45.61
"MG","Ferros",1,15,38,1059,586,471,55.34,44.48
"MG","Fervedouro",1,6,34,1147,616,531,53.71,46.29
"PR","Figueira",1,4,23,927,488,439,52.64,47.36
"MS","Figueirão",1,2,10,871,437,434,50.17,49.83
"TO","Figueirópolis",1,3,21,1100,544,556,49.45,50.55
"MT","Figueirópolis D'oeste",1,2,24,675,348,327,51.56,48.44
"BA","Filadélfia",1,15,50,1388,729,659,52.52,47.48
"TO","Filadélfia",1,8,29,1083,562,521,51.89,48.11
"BA","Firmino Alves",1,8,19,1173,582,591,49.62,50.38
"GO","Firminópolis",1,6,35,1461,788,673,53.94,46.06
"AL","Flexeiras",1,6,26,1085,553,532,50.97,49.03
"PR","Flor Da Serra Do Sul",1,4,17,793,408,385,51.45,48.55
"SC","Flor Do Sertão",1,3,6,520,258,262,49.62,50.38
"SP","Flora Rica",1,1,6,490,253,237,51.63,48.37
"PR","Floraí",1,3,15,752,400,352,53.19,46.81
"SP","Floreal",1,1,8,706,376,330,53.26,46.74
"PE","Flores",1,11,62,1362,722,640,53.01,46.99
"RS","Flores Da Cunha",1,27,78,1430,754,676,52.73,47.27
"GO","Flores De Goiás",1,9,28,1739,866,873,49.8,50.2
"PI","Flores Do Piauí",1,4,19,777,410,367,52.77,47.23
"PE","Floresta",1,18,75,2240,1233,1001,55.04,44.69
"PR","Floresta",1,4,22,1398,755,643,54.01,45.99
"BA","Floresta Azul",1,8,34,1279,655,624,51.21,48.79
"PA","Floresta Do Araguaia",1,17,53,1627,811,816,49.85,50.15
"PI","Floresta Do Piauí",1,4,10,541,296,245,54.71,45.29
"MG","Florestal",1,4,22,1048,544,504,51.91,48.09
"PR","Florestópolis",1,6,34,1111,596,515,53.65,46.35
"PI","Floriano",1,61,205,2525,1390,1135,55.05,44.95
"RS","Floriano Peixoto",1,5,9,441,236,205,53.51,46.49
"SC","Florianópolis",3,105,632,10434,5513,4921,52.84,47.16
"RN","Florânia",1,5,29,1057,567,490,53.64,46.36
"SP","Florínea",1,2,8,752,371,381,49.34,50.66
"PR","Flórida",1,1,9,693,370,323,53.39,46.61
"SP","Flórida Paulista",1,3,24,950,504,446,53.05,46.95
"AM","Fonte Boa",1,15,58,1482,739,743,49.87,50.13
"RS","Fontoura Xavier",1,16,36,998,520,478,52.1,47.9
"MG","Formiga",1,41,178,2086,1121,954,53.74,45.73
"RS","Formigueiro",1,13,25,862,468,394,54.29,45.71
"GO","Formosa",1,40,254,2766,1420,1346,51.34,48.66
"MA","Formosa Da Serra Negra",1,26,58,1513,787,726,52.02,47.98
"PR","Formosa Do Oeste",1,3,21,863,446,417,51.68,48.32
"BA","Formosa Do Rio Preto",1,28,81,1524,808,716,53.02,46.98
"SC","Formosa Do Sul",1,2,8,744,373,371,50.13,49.87
"GO","Formoso",1,4,17,1063,553,510,52.02,47.98
"MG","Formoso",1,5,23,1119,560,559,50.04,49.96
"TO","Formoso Do Araguaia",1,15,59,1526,768,758,50.33,49.67
"RS","Forquetinha",1,10,12,610,303,307,49.67,50.33
"CE","Forquilha",1,18,70,1422,753,669,52.95,47.05
"SC","Forquilhinha",1,17,67,1823,969,854,53.15,46.85
"CE","Fortaleza",17,190,942,46630,25221,21317,54.09,45.72
"MG","Fortaleza De Minas",1,3,11,615,327,288,53.17,46.83
"MA","Fortaleza Dos Nogueiras",1,13,37,1184,621,563,52.45,47.55
"RS","Fortaleza Dos Valos",1,7,14,699,367,332,52.5,47.5
"CE","Fortim",1,16,57,1771,912,859,51.5,48.5
"MA","Fortuna",1,23,55,1155,622,532,53.85,46.06
"MG","Fortuna De Minas",1,5,14,890,442,448,49.66,50.34
"PR","Foz Do Iguaçu",3,41,374,7756,4105,3651,52.93,47.07
"PR","Foz Do Jordão",1,5,17,922,472,450,51.19,48.81
"SC","Fraiburgo",1,18,95,1500,775,725,51.67,48.33
"SP","Franca",2,56,397,5293,2762,2489,52.18,47.02
"PI","Francinópolis",1,6,19,737,388,349,52.65,47.35
"PR","Francisco Alves",1,4,21,1071,554,517,51.73,48.27
"PI","Francisco Ayres",1,12,25,1111,572,539,51.49,48.51
"MG","Francisco Badaró",1,15,31,892,471,417,52.8,46.75
"PR","Francisco Beltrão",1,31,215,2556,1364,1189,53.36,46.52
"RN","Francisco Dantas",1,3,13,673,353,320,52.45,47.55
"MG","Francisco Dumont",1,8,18,1117,581,536,52.01,47.99
"PI","Francisco Macedo",1,8,13,652,335,317,51.38,48.62
"SP","Francisco Morato",1,33,352,3034,1606,1422,52.93,46.87
"PI","Francisco Santos",1,10,33,960,519,441,54.06,45.94
"MG","Francisco Sá",1,37,95,1695,890,798,52.51,47.08
"MG","Franciscópolis",1,4,16,782,402,375,51.41,47.95
"SP","Franco Da Rocha",1,33,293,3021,1549,1454,51.27,48.13
"CE","Frecheirinha",1,10,46,1304,683,621,52.38,47.62
