"UF","Município","Zonas","Locais","Seções","Eleitorado","EleitoradoFeminino","EleitoradoMasculino","PorcentagemF","PorcentagemM"
"MA","São José De Ribamar",1,98,394,4032,2188,1844,54.27,45.73
"RJ","São José De Ubá",1,7,27,1430,770,657,53.85,45.94
"MG","São José Do Alegre",1,2,11,706,383,317,54.25,44.9
"SP","São José Do Barreiro",1,4,12,828,432,396,52.17,47.83
"PE","São José Do Belmonte",1,14,89,1931,1020,911,52.82,47.18
"PB","São José Do Bonfim",1,1,16,893,467,426,52.3,47.7
"PB","São José Do Brejo Do Cruz",1,2,8,904,456,448,50.44,49.56
"ES","São José Do Calçado",1,6,36,1512,787,725,52.05,47.95
"RN","São José Do Campestre",1,5,31,1119,611,508,54.6,45.4
"SC","São José Do Cedro",1,7,41,1066,560,506,52.53,47.47
"SC","São José Do Cerrito",1,22,33,1204,599,605,49.75,50.25
"MG","São José Do Divino",1,3,15,856,451,405,52.69,47.31
"PI","São José Do Divino",1,9,25,751,387,364,51.53,48.47
"PE","São José Do Egito",1,13,83,1772,928,844,52.37,47.63
"MG","São José Do Goiabal",1,2,16,816,428,380,52.45,46.57
"RS","São José Do Herval",1,2,7,709,364,345,51.34,48.66
"RS","São José Do Hortêncio",1,5,11,647,336,311,51.93,48.07
"RS","São José Do Inhacorá",1,5,11,425,211,214,49.65,50.35
"MG","São José Do Jacuri",1,8,21,934,472,462,50.54,49.46
"BA","São José Do Jacuípe",1,6,27,1221,627,594,51.35,48.65
"MG","São José Do Mantimento",1,2,10,947,504,443,53.22,46.78
"RS","São José Do Norte",1,40,80,1452,781,671,53.79,46.21
"RS","São José Do Ouro",1,11,20,790,425,365,53.8,46.2
"PI","São José Do Peixe",1,6,17,782,404,378,51.66,48.34
"PI","São José Do Piauí",1,17,32,836,446,390,53.35,46.65
"MT","São José Do Povo",1,2,11,1093,538,554,49.22,50.69
"MT","São José Do Rio Claro",1,6,39,1129,590,539,52.26,47.74
"SP","São José Do Rio Pardo",1,13,120,1814,985,829,54.3,45.7
"SP","São José Do Rio Preto",3,80,442,9059,4779,4203,52.75,46.4
"PB","São José Do Sabugi",1,3,17,733,391,342,53.34,46.66
"RN","São José Do Seridó",1,2,12,823,421,402,51.15,48.85
"RS","São José Do Sul",1,6,9,513,258,255,50.29,49.71
"RJ","São José Do Vale Do Rio Preto",1,13,69,1494,792,698,53.01,46.72
"MT","São José Do Xingu",1,3,17,1864,924,939,49.57,50.38
